
 iteration 0, train cost 3.6851, valid cost 3.7409
 iteration 50, train cost 2.0609, valid cost 2.1538
 iteration 100, train cost 2.0241, valid cost 2.1023
 iteration 150, train cost 1.9649, valid cost 2.0453
 iteration 200, train cost 1.8797, valid cost 1.9755
 iteration 250, train cost 1.9588, valid cost 1.9721
 iteration 300, train cost 1.8113, valid cost 1.9031
 iteration 350, train cost 1.7681, valid cost 1.8655
 iteration 400, train cost 1.7230, valid cost 1.8312
 iteration 450, train cost 1.6766, valid cost 1.7975
 iteration 500, train cost 1.6849, valid cost 1.8056
 iteration 550, train cost 1.6398, valid cost 1.7812
 iteration 600, train cost 1.6210, valid cost 1.7718
 iteration 650, train cost 1.5872, valid cost 1.7627
 iteration 700, train cost 1.5597, valid cost 1.7479
 iteration 750, train cost 1.5288, valid cost 1.7376
 iteration 800, train cost 1.5573, valid cost 1.7446
 iteration 850, train cost 1.5836, valid cost 1.7782
 iteration 900, train cost 1.4883, valid cost 1.7155
 iteration 950, train cost 1.4661, valid cost 1.7115
 iteration 1000, train cost 1.4473, valid cost 1.7086
 iteration 1050, train cost 1.4361, valid cost 1.7060
 iteration 1100, train cost 1.5152, valid cost 1.7482
 iteration 1150, train cost 1.5828, valid cost 1.7824
 iteration 1200, train cost 1.4388, valid cost 1.7009
 iteration 1250, train cost 1.4043, valid cost 1.6992
 iteration 1300, train cost 1.4248, valid cost 1.7044
 iteration 1350, train cost 1.3879, valid cost 1.6850
 iteration 1400, train cost 1.3658, valid cost 1.6799
 iteration 1450, train cost 1.3472, valid cost 1.6798
 iteration 1500, train cost 1.3369, valid cost 1.6846
 iteration 1550, train cost 1.3264, valid cost 1.6739
 iteration 1600, train cost 1.3129, valid cost 1.6706
 iteration 1650, train cost 1.3719, valid cost 1.6711
 iteration 1700, train cost 1.3300, valid cost 1.6672
 iteration 1750, train cost 1.3182, valid cost 1.6698
 iteration 1800, train cost 1.3020, valid cost 1.6660
 iteration 1850, train cost 1.2908, valid cost 1.6653
 iteration 1900, train cost 1.2860, valid cost 1.6650
 iteration 1950, train cost 1.2816, valid cost 1.6562
 iteration 2000, train cost 1.3296, valid cost 1.6671
 iteration 2050, train cost 1.2641, valid cost 1.6511
 iteration 2100, train cost 1.2498, valid cost 1.6494
 iteration 2150, train cost 1.2611, valid cost 1.6766
 iteration 2200, train cost 1.2417, valid cost 1.6388
 iteration 2250, train cost 1.2289, valid cost 1.6426
 iteration 2300, train cost 1.2261, valid cost 1.6432
 iteration 2350, train cost 1.2175, valid cost 1.6354
 iteration 2400, train cost 1.2114, valid cost 1.6359
 iteration 2450, train cost 1.2070, valid cost 1.6320
 iteration 2500, train cost 1.2035, valid cost 1.6254
 iteration 2550, train cost 1.1936, valid cost 1.6196
 iteration 2600, train cost 1.1921, valid cost 1.6184
 iteration 2650, train cost 1.1843, valid cost 1.6150
 iteration 2700, train cost 1.1769, valid cost 1.6106
 iteration 2750, train cost 1.1727, valid cost 1.6082
 iteration 2800, train cost 1.5250, valid cost 1.7161
 iteration 2850, train cost 1.2597, valid cost 1.5916
 iteration 2900, train cost 1.2159, valid cost 1.5864
 iteration 2950, train cost 1.2004, valid cost 1.5803
 iteration 3000, train cost 1.1840, valid cost 1.5786
 iteration 3050, train cost 1.1722, valid cost 1.5765
 iteration 3100, train cost 1.1728, valid cost 1.5751
 iteration 3150, train cost 1.1572, valid cost 1.5743
 iteration 3200, train cost 1.1516, valid cost 1.5737
 iteration 3250, train cost 1.4426, valid cost 1.7693
 iteration 3300, train cost 1.2747, valid cost 1.6013
 iteration 3350, train cost 1.1622, valid cost 1.5624
 iteration 3400, train cost 1.1510, valid cost 1.5673
 iteration 3450, train cost 1.1462, valid cost 1.5660
 iteration 3500, train cost 1.1380, valid cost 1.5680
 iteration 3550, train cost 1.1362, valid cost 1.5708
 iteration 3600, train cost 1.1291, valid cost 1.5689
 iteration 3650, train cost 1.1359, valid cost 1.5691
 iteration 3700, train cost 1.1235, valid cost 1.5644
 iteration 3750, train cost 1.1447, valid cost 1.5757
 iteration 3800, train cost 1.1305, valid cost 1.5637
 iteration 3850, train cost 1.1366, valid cost 1.5572
 iteration 3900, train cost 1.1668, valid cost 1.5683
 iteration 3950, train cost 1.1333, valid cost 1.5615
 iteration 4000, train cost 1.1266, valid cost 1.5682
 iteration 4050, train cost 1.1222, valid cost 1.5640
 iteration 4100, train cost 1.1178, valid cost 1.5623
 iteration 4150, train cost 1.1255, valid cost 1.5581
 iteration 4200, train cost 1.1064, valid cost 1.5602
 iteration 4250, train cost 1.1082, valid cost 1.5604
 iteration 4300, train cost 1.0979, valid cost 1.5563
 iteration 4350, train cost 1.0958, valid cost 1.5526
 iteration 4400, train cost 1.0968, valid cost 1.5540
 iteration 4450, train cost 1.0921, valid cost 1.5542
 iteration 4500, train cost 1.0899, valid cost 1.5503
 iteration 4550, train cost 1.0952, valid cost 1.5460
 iteration 4600, train cost 1.2061, valid cost 1.6049
 iteration 4650, train cost 1.0887, valid cost 1.5448
 iteration 4700, train cost 1.0788, valid cost 1.5440
 iteration 4750, train cost 1.0730, valid cost 1.5423
 iteration 4800, train cost 1.0741, valid cost 1.5424
 iteration 4850, train cost 1.0679, valid cost 1.5391
 iteration 4900, train cost 1.0647, valid cost 1.5355
 iteration 4950, train cost 1.0603, valid cost 1.5368
