
 iteration 0, train cost 3.6829, valid cost 3.7867
 iteration 50, train cost 3.0533, valid cost 3.1150
 iteration 100, train cost 2.2569, valid cost 2.3316
 iteration 150, train cost 2.0995, valid cost 2.1796
 iteration 200, train cost 2.0773, valid cost 2.1592
 iteration 250, train cost 2.0720, valid cost 2.1555
 iteration 300, train cost 2.0691, valid cost 2.1544
 iteration 350, train cost 2.0673, valid cost 2.1537
 iteration 400, train cost 2.0660, valid cost 2.1535
 iteration 450, train cost 2.0645, valid cost 2.1527
 iteration 500, train cost 2.0616, valid cost 2.1505
 iteration 550, train cost 2.0570, valid cost 2.1454
 iteration 600, train cost 2.0476, valid cost 2.1340
 iteration 650, train cost 2.0297, valid cost 2.1122
 iteration 700, train cost 2.0081, valid cost 2.0858
 iteration 750, train cost 1.9921, valid cost 2.0677
 iteration 800, train cost 1.9819, valid cost 2.0570
 iteration 850, train cost 1.9702, valid cost 2.0449
 iteration 900, train cost 1.9506, valid cost 2.0257
 iteration 950, train cost 1.9325, valid cost 2.0071
 iteration 1000, train cost 1.9187, valid cost 1.9934
 iteration 1050, train cost 1.9051, valid cost 1.9799
 iteration 1100, train cost 1.8889, valid cost 1.9631
 iteration 1150, train cost 1.8679, valid cost 1.9405
 iteration 1200, train cost 1.8456, valid cost 1.9171
 iteration 1250, train cost 1.8259, valid cost 1.8960
 iteration 1300, train cost 1.8082, valid cost 1.8780
 iteration 1350, train cost 1.7914, valid cost 1.8623
 iteration 1400, train cost 1.7756, valid cost 1.8494
 iteration 1450, train cost 1.7624, valid cost 1.8386
 iteration 1500, train cost 1.7508, valid cost 1.8298
 iteration 1550, train cost 1.7403, valid cost 1.8212
 iteration 1600, train cost 1.7289, valid cost 1.8123
 iteration 1650, train cost 1.7172, valid cost 1.8022
 iteration 1700, train cost 1.7035, valid cost 1.7900
 iteration 1750, train cost 1.6909, valid cost 1.7774
 iteration 1800, train cost 1.6782, valid cost 1.7664
 iteration 1850, train cost 1.6679, valid cost 1.7568
 iteration 1900, train cost 1.6578, valid cost 1.7482
 iteration 1950, train cost 1.6475, valid cost 1.7402
 iteration 2000, train cost 1.6375, valid cost 1.7323
 iteration 2050, train cost 1.6290, valid cost 1.7246
 iteration 2100, train cost 1.6196, valid cost 1.7181
 iteration 2150, train cost 1.6110, valid cost 1.7122
 iteration 2200, train cost 1.6035, valid cost 1.7063
 iteration 2250, train cost 1.5956, valid cost 1.7009
 iteration 2300, train cost 1.5887, valid cost 1.6959
 iteration 2350, train cost 1.5817, valid cost 1.6910
 iteration 2400, train cost 1.5744, valid cost 1.6864
 iteration 2450, train cost 1.5685, valid cost 1.6818
 iteration 2500, train cost 1.5613, valid cost 1.6768
 iteration 2550, train cost 1.5549, valid cost 1.6717
 iteration 2600, train cost 1.5501, valid cost 1.6676
 iteration 2650, train cost 1.5411, valid cost 1.6624
 iteration 2700, train cost 1.5358, valid cost 1.6577
 iteration 2750, train cost 1.5301, valid cost 1.6532
 iteration 2800, train cost 1.5242, valid cost 1.6488
 iteration 2850, train cost 1.5188, valid cost 1.6450
 iteration 2900, train cost 1.5149, valid cost 1.6414
 iteration 2950, train cost 1.5094, valid cost 1.6377
 iteration 3000, train cost 1.5038, valid cost 1.6348
 iteration 3050, train cost 1.5006, valid cost 1.6315
 iteration 3100, train cost 1.4947, valid cost 1.6286
 iteration 3150, train cost 1.4902, valid cost 1.6254
 iteration 3200, train cost 1.4864, valid cost 1.6227
 iteration 3250, train cost 1.4816, valid cost 1.6196
 iteration 3300, train cost 1.4763, valid cost 1.6165
 iteration 3350, train cost 1.4729, valid cost 1.6129
 iteration 3400, train cost 1.4686, valid cost 1.6096
 iteration 3450, train cost 1.4644, valid cost 1.6064
 iteration 3500, train cost 1.4597, valid cost 1.6029
 iteration 3550, train cost 1.4561, valid cost 1.5995
 iteration 3600, train cost 1.4508, valid cost 1.5960
 iteration 3650, train cost 1.4480, valid cost 1.5929
 iteration 3700, train cost 1.4427, valid cost 1.5894
 iteration 3750, train cost 1.4392, valid cost 1.5855
 iteration 3800, train cost 1.4359, valid cost 1.5822
 iteration 3850, train cost 1.4316, valid cost 1.5795
 iteration 3900, train cost 1.4264, valid cost 1.5763
 iteration 3950, train cost 1.4235, valid cost 1.5732
 iteration 4000, train cost 1.4202, valid cost 1.5698
 iteration 4050, train cost 1.4155, valid cost 1.5667
 iteration 4100, train cost 1.4115, valid cost 1.5642
 iteration 4150, train cost 1.4080, valid cost 1.5619
 iteration 4200, train cost 1.4045, valid cost 1.5591
 iteration 4250, train cost 1.4009, valid cost 1.5576
 iteration 4300, train cost 1.3984, valid cost 1.5548
 iteration 4350, train cost 1.3955, valid cost 1.5540
 iteration 4400, train cost 1.3917, valid cost 1.5516
 iteration 4450, train cost 1.3886, valid cost 1.5499
 iteration 4500, train cost 1.3869, valid cost 1.5485
 iteration 4550, train cost 1.3837, valid cost 1.5472
 iteration 4600, train cost 1.3811, valid cost 1.5460
 iteration 4650, train cost 1.3783, valid cost 1.5450
 iteration 4700, train cost 1.3744, valid cost 1.5435
 iteration 4750, train cost 1.3734, valid cost 1.5420
 iteration 4800, train cost 1.3705, valid cost 1.5401
 iteration 4850, train cost 1.3671, valid cost 1.5389
 iteration 4900, train cost 1.3649, valid cost 1.5375
 iteration 4950, train cost 1.3629, valid cost 1.5366
