
 iteration 0, train cost 3.6839, valid cost 3.7874
 iteration 50, train cost 2.5089, valid cost 2.5661
 iteration 100, train cost 2.0940, valid cost 2.1743
 iteration 150, train cost 2.0723, valid cost 2.1545
 iteration 200, train cost 2.0674, valid cost 2.1520
 iteration 250, train cost 2.0632, valid cost 2.1498
 iteration 300, train cost 2.0580, valid cost 2.1454
 iteration 350, train cost 2.0467, valid cost 2.1338
 iteration 400, train cost 2.0156, valid cost 2.0996
 iteration 450, train cost 1.9553, valid cost 2.0315
 iteration 500, train cost 1.9013, valid cost 1.9764
 iteration 550, train cost 1.8635, valid cost 1.9401
 iteration 600, train cost 1.8355, valid cost 1.9132
 iteration 650, train cost 1.8031, valid cost 1.8794
 iteration 700, train cost 1.7673, valid cost 1.8443
 iteration 750, train cost 1.7383, valid cost 1.8171
 iteration 800, train cost 1.7117, valid cost 1.7931
 iteration 850, train cost 1.6864, valid cost 1.7697
 iteration 900, train cost 1.6629, valid cost 1.7491
 iteration 950, train cost 1.6410, valid cost 1.7290
 iteration 1000, train cost 1.6172, valid cost 1.7085
 iteration 1050, train cost 1.5959, valid cost 1.6905
 iteration 1100, train cost 1.5772, valid cost 1.6747
 iteration 1150, train cost 1.5601, valid cost 1.6602
 iteration 1200, train cost 1.5442, valid cost 1.6478
 iteration 1250, train cost 1.5277, valid cost 1.6362
 iteration 1300, train cost 1.5117, valid cost 1.6223
 iteration 1350, train cost 1.4964, valid cost 1.6084
 iteration 1400, train cost 1.4817, valid cost 1.5955
 iteration 1450, train cost 1.4674, valid cost 1.5828
 iteration 1500, train cost 1.4540, valid cost 1.5708
 iteration 1550, train cost 1.4414, valid cost 1.5596
 iteration 1600, train cost 1.4293, valid cost 1.5492
 iteration 1650, train cost 1.4182, valid cost 1.5392
 iteration 1700, train cost 1.4073, valid cost 1.5293
 iteration 1750, train cost 1.3958, valid cost 1.5200
 iteration 1800, train cost 1.3854, valid cost 1.5106
 iteration 1850, train cost 1.3746, valid cost 1.5020
 iteration 1900, train cost 1.3663, valid cost 1.4931
 iteration 1950, train cost 1.3540, valid cost 1.4843
 iteration 2000, train cost 1.3464, valid cost 1.4765
 iteration 2050, train cost 1.3373, valid cost 1.4686
 iteration 2100, train cost 1.3294, valid cost 1.4608
 iteration 2150, train cost 1.3213, valid cost 1.4549
 iteration 2200, train cost 1.3137, valid cost 1.4485
 iteration 2250, train cost 1.3049, valid cost 1.4422
 iteration 2300, train cost 1.2980, valid cost 1.4368
 iteration 2350, train cost 1.2935, valid cost 1.4316
 iteration 2400, train cost 1.2861, valid cost 1.4269
 iteration 2450, train cost 1.2796, valid cost 1.4224
 iteration 2500, train cost 1.2751, valid cost 1.4174
 iteration 2550, train cost 1.2692, valid cost 1.4128
 iteration 2600, train cost 1.2646, valid cost 1.4083
 iteration 2650, train cost 1.2587, valid cost 1.4047
 iteration 2700, train cost 1.2535, valid cost 1.4009
 iteration 2750, train cost 1.2502, valid cost 1.3974
 iteration 2800, train cost 1.2443, valid cost 1.3936
 iteration 2850, train cost 1.2395, valid cost 1.3904
 iteration 2900, train cost 1.2347, valid cost 1.3869
 iteration 2950, train cost 1.2299, valid cost 1.3834
 iteration 3000, train cost 1.2245, valid cost 1.3800
 iteration 3050, train cost 1.2197, valid cost 1.3760
 iteration 3100, train cost 1.2148, valid cost 1.3724
 iteration 3150, train cost 1.2095, valid cost 1.3680
 iteration 3200, train cost 1.2036, valid cost 1.3649
 iteration 3250, train cost 1.1996, valid cost 1.3603
 iteration 3300, train cost 1.1937, valid cost 1.3574
 iteration 3350, train cost 1.1903, valid cost 1.3542
 iteration 3400, train cost 1.1869, valid cost 1.3498
 iteration 3450, train cost 1.1809, valid cost 1.3465
 iteration 3500, train cost 1.1764, valid cost 1.3441
 iteration 3550, train cost 1.1744, valid cost 1.3412
 iteration 3600, train cost 1.1682, valid cost 1.3386
 iteration 3650, train cost 1.1661, valid cost 1.3356
 iteration 3700, train cost 1.1620, valid cost 1.3326
 iteration 3750, train cost 1.1593, valid cost 1.3299
 iteration 3800, train cost 1.1558, valid cost 1.3276
 iteration 3850, train cost 1.1521, valid cost 1.3254
 iteration 3900, train cost 1.1500, valid cost 1.3231
 iteration 3950, train cost 1.1464, valid cost 1.3204
 iteration 4000, train cost 1.1420, valid cost 1.3181
 iteration 4050, train cost 1.1395, valid cost 1.3156
 iteration 4100, train cost 1.1370, valid cost 1.3128
 iteration 4150, train cost 1.1330, valid cost 1.3109
 iteration 4200, train cost 1.1294, valid cost 1.3082
 iteration 4250, train cost 1.1262, valid cost 1.3056
 iteration 4300, train cost 1.1221, valid cost 1.3026
 iteration 4350, train cost 1.1217, valid cost 1.3004
 iteration 4400, train cost 1.1150, valid cost 1.2976
 iteration 4450, train cost 1.1146, valid cost 1.2952
 iteration 4500, train cost 1.1116, valid cost 1.2929
 iteration 4550, train cost 1.1073, valid cost 1.2907
 iteration 4600, train cost 1.1056, valid cost 1.2880
 iteration 4650, train cost 1.1026, valid cost 1.2862
 iteration 4700, train cost 1.1004, valid cost 1.2840
 iteration 4750, train cost 1.0971, valid cost 1.2823
 iteration 4800, train cost 1.0962, valid cost 1.2807
 iteration 4850, train cost 1.0911, valid cost 1.2782
 iteration 4900, train cost 1.0898, valid cost 1.2765
 iteration 4950, train cost 1.0862, valid cost 1.2761
