
 iteration 0, train cost 3.6510, valid cost 3.7386
 iteration 50, train cost 2.1564, valid cost 2.2201
 iteration 100, train cost 2.0645, valid cost 2.1411
 iteration 150, train cost 2.0580, valid cost 2.1372
 iteration 200, train cost 2.0539, valid cost 2.1351
 iteration 250, train cost 2.0466, valid cost 2.1286
 iteration 300, train cost 2.0109, valid cost 2.0863
 iteration 350, train cost 1.9165, valid cost 1.9844
 iteration 400, train cost 1.8757, valid cost 1.9511
 iteration 450, train cost 1.8328, valid cost 1.9135
 iteration 500, train cost 1.7937, valid cost 1.8772
 iteration 550, train cost 1.7500, valid cost 1.8338
 iteration 600, train cost 1.7156, valid cost 1.7980
 iteration 650, train cost 1.6830, valid cost 1.7648
 iteration 700, train cost 1.6529, valid cost 1.7351
 iteration 750, train cost 1.6235, valid cost 1.7075
 iteration 800, train cost 1.5961, valid cost 1.6831
 iteration 850, train cost 1.5711, valid cost 1.6611
 iteration 900, train cost 1.5466, valid cost 1.6404
 iteration 950, train cost 1.5223, valid cost 1.6195
 iteration 1000, train cost 1.4999, valid cost 1.6001
 iteration 1050, train cost 1.4779, valid cost 1.5805
 iteration 1100, train cost 1.4580, valid cost 1.5635
 iteration 1150, train cost 1.4399, valid cost 1.5485
 iteration 1200, train cost 1.4217, valid cost 1.5340
 iteration 1250, train cost 1.4064, valid cost 1.5206
 iteration 1300, train cost 1.3906, valid cost 1.5082
 iteration 1350, train cost 1.3774, valid cost 1.4961
 iteration 1400, train cost 1.3625, valid cost 1.4838
 iteration 1450, train cost 1.3463, valid cost 1.4727
 iteration 1500, train cost 1.3319, valid cost 1.4609
 iteration 1550, train cost 1.3206, valid cost 1.4496
 iteration 1600, train cost 1.3086, valid cost 1.4401
 iteration 1650, train cost 1.2964, valid cost 1.4312
 iteration 1700, train cost 1.2879, valid cost 1.4229
 iteration 1750, train cost 1.2780, valid cost 1.4168
 iteration 1800, train cost 1.2705, valid cost 1.4087
 iteration 1850, train cost 1.2612, valid cost 1.4028
 iteration 1900, train cost 1.2541, valid cost 1.3968
 iteration 1950, train cost 1.2470, valid cost 1.3899
 iteration 2000, train cost 1.2393, valid cost 1.3835
 iteration 2050, train cost 1.2315, valid cost 1.3773
 iteration 2100, train cost 1.2242, valid cost 1.3714
 iteration 2150, train cost 1.2156, valid cost 1.3656
 iteration 2200, train cost 1.2086, valid cost 1.3594
 iteration 2250, train cost 1.2048, valid cost 1.3546
 iteration 2300, train cost 1.1958, valid cost 1.3484
 iteration 2350, train cost 1.1912, valid cost 1.3434
 iteration 2400, train cost 1.1838, valid cost 1.3389
 iteration 2450, train cost 1.1789, valid cost 1.3351
