
 iteration 0, train cost 3.6581, valid cost 3.7393
 iteration 50, train cost 2.0641, valid cost 2.1501
 iteration 100, train cost 2.0564, valid cost 2.1419
 iteration 150, train cost 2.0531, valid cost 2.1391
 iteration 200, train cost 2.0492, valid cost 2.1355
 iteration 250, train cost 2.0246, valid cost 2.1038
 iteration 300, train cost 1.9748, valid cost 2.0443
 iteration 350, train cost 1.9558, valid cost 2.0204
 iteration 400, train cost 1.8926, valid cost 1.9628
 iteration 450, train cost 1.8637, valid cost 1.9392
 iteration 500, train cost 1.8477, valid cost 1.9227
 iteration 550, train cost 1.8308, valid cost 1.9053
 iteration 600, train cost 1.8171, valid cost 1.8914
 iteration 650, train cost 1.7951, valid cost 1.8762
 iteration 700, train cost 1.7557, valid cost 1.8419
 iteration 750, train cost 1.7309, valid cost 1.8222
 iteration 800, train cost 1.7152, valid cost 1.8133
 iteration 850, train cost 1.6943, valid cost 1.8004
 iteration 900, train cost 1.6758, valid cost 1.7873
 iteration 950, train cost 1.6599, valid cost 1.7818
 iteration 1000, train cost 1.6440, valid cost 1.7738
 iteration 1050, train cost 1.6290, valid cost 1.7661
 iteration 1100, train cost 1.6132, valid cost 1.7606
 iteration 1150, train cost 1.5959, valid cost 1.7541
 iteration 1200, train cost 1.5836, valid cost 1.7499
 iteration 1250, train cost 1.5657, valid cost 1.7437
 iteration 1300, train cost 1.5525, valid cost 1.7379
 iteration 1350, train cost 1.5384, valid cost 1.7313
 iteration 1400, train cost 1.5220, valid cost 1.7244
 iteration 1450, train cost 1.5110, valid cost 1.7230
 iteration 1500, train cost 1.4962, valid cost 1.7139
 iteration 1550, train cost 1.4841, valid cost 1.7104
 iteration 1600, train cost 1.4734, valid cost 1.7104
 iteration 1650, train cost 1.4681, valid cost 1.7131
 iteration 1700, train cost 1.4540, valid cost 1.7041
 iteration 1750, train cost 1.4435, valid cost 1.7008
 iteration 1800, train cost 1.4352, valid cost 1.6995
 iteration 1850, train cost 1.4278, valid cost 1.6988
 iteration 1900, train cost 1.4208, valid cost 1.6985
 iteration 1950, train cost 1.4150, valid cost 1.6984
 iteration 2000, train cost 1.4090, valid cost 1.6984
 iteration 2050, train cost 1.4044, valid cost 1.7006
 iteration 2100, train cost 1.4008, valid cost 1.6996
 iteration 2150, train cost 1.3989, valid cost 1.7002
 iteration 2200, train cost 1.3893, valid cost 1.7012
 iteration 2250, train cost 1.3852, valid cost 1.7008
 iteration 2300, train cost 1.3833, valid cost 1.7019
 iteration 2350, train cost 1.3813, valid cost 1.7014
 iteration 2400, train cost 1.3767, valid cost 1.7027
 iteration 2450, train cost 1.3714, valid cost 1.7010
