
 iteration 0, train cost 3.6550, valid cost 3.7111
 iteration 50, train cost 2.0648, valid cost 2.2454
 iteration 100, train cost 2.0585, valid cost 2.1430
 iteration 150, train cost 2.0565, valid cost 2.1417
 iteration 200, train cost 2.0540, valid cost 2.1392
 iteration 250, train cost 2.0524, valid cost 2.1376
 iteration 300, train cost 2.0238, valid cost 2.1045
 iteration 350, train cost 1.9801, valid cost 2.0478
 iteration 400, train cost 1.9736, valid cost 2.0412
 iteration 450, train cost 1.9720, valid cost 2.0396
 iteration 500, train cost 1.9682, valid cost 2.0367
 iteration 550, train cost 1.9559, valid cost 2.0288
 iteration 600, train cost 1.9454, valid cost 2.0260
 iteration 650, train cost 1.9336, valid cost 2.0311
 iteration 700, train cost 1.9142, valid cost 2.0135
 iteration 750, train cost 1.9054, valid cost 2.0072
 iteration 800, train cost 1.9036, valid cost 2.0087
 iteration 850, train cost 1.8964, valid cost 2.0043
 iteration 900, train cost 1.8987, valid cost 2.0101
 iteration 950, train cost 1.8848, valid cost 1.9990
 iteration 1000, train cost 1.8704, valid cost 1.9897
 iteration 1050, train cost 1.8487, valid cost 1.9783
 iteration 1100, train cost 1.8315, valid cost 1.9596
 iteration 1150, train cost 1.8199, valid cost 1.9544
 iteration 1200, train cost 1.8078, valid cost 1.9494
 iteration 1250, train cost 1.7976, valid cost 1.9325
 iteration 1300, train cost 1.7923, valid cost 1.9257
 iteration 1350, train cost 1.7715, valid cost 1.9197
 iteration 1400, train cost 1.7910, valid cost 1.9224
 iteration 1450, train cost 1.7593, valid cost 1.9164
 iteration 1500, train cost 1.7529, valid cost 1.9147
 iteration 1550, train cost 1.7482, valid cost 1.9124
 iteration 1600, train cost 1.7391, valid cost 1.9153
 iteration 1650, train cost 1.7309, valid cost 1.9134
 iteration 1700, train cost 1.7255, valid cost 1.9157
 iteration 1750, train cost 2.0216, valid cost 2.1600
 iteration 1800, train cost 1.7498, valid cost 1.9074
 iteration 1850, train cost 1.7356, valid cost 1.9116
 iteration 1900, train cost 1.8116, valid cost 1.9219
 iteration 1950, train cost 1.7165, valid cost 1.9091
 iteration 2000, train cost 1.7098, valid cost 1.9068
 iteration 2050, train cost 1.7135, valid cost 1.9196
 iteration 2100, train cost 1.6960, valid cost 1.8992
 iteration 2150, train cost 1.6895, valid cost 1.8969
 iteration 2200, train cost 1.6817, valid cost 1.9020
 iteration 2250, train cost 1.6805, valid cost 1.8985
 iteration 2300, train cost 1.6712, valid cost 1.9047
 iteration 2350, train cost 1.6635, valid cost 1.8937
 iteration 2400, train cost 1.6578, valid cost 1.8920
 iteration 2450, train cost 1.6577, valid cost 1.8963
