
 iteration 0, train cost 3.7009, valid cost 3.7787
 iteration 50, train cost 2.0786, valid cost 2.1702
 iteration 100, train cost 2.0684, valid cost 2.1608
 iteration 150, train cost 1.9938, valid cost 2.0722
 iteration 200, train cost 1.8808, valid cost 1.9602
 iteration 250, train cost 1.8011, valid cost 1.8774
 iteration 300, train cost 1.7372, valid cost 1.8293
 iteration 350, train cost 1.6870, valid cost 1.7927
 iteration 400, train cost 1.6607, valid cost 1.7880
 iteration 450, train cost 1.6227, valid cost 1.7448
 iteration 500, train cost 1.5805, valid cost 1.7163
 iteration 550, train cost 1.5453, valid cost 1.6882
 iteration 600, train cost 1.5193, valid cost 1.6665
 iteration 650, train cost 1.4777, valid cost 1.6390
 iteration 700, train cost 1.4524, valid cost 1.6256
 iteration 750, train cost 1.4225, valid cost 1.6016
 iteration 800, train cost 1.4059, valid cost 1.5889
 iteration 850, train cost 1.3706, valid cost 1.5668
 iteration 900, train cost 1.3475, valid cost 1.5534
 iteration 950, train cost 1.3533, valid cost 1.5788
 iteration 1000, train cost 1.3045, valid cost 1.5232
 iteration 1050, train cost 1.2857, valid cost 1.5104
 iteration 1100, train cost 1.2726, valid cost 1.5028
 iteration 1150, train cost 1.2541, valid cost 1.4909
 iteration 1200, train cost 1.2590, valid cost 1.4895
 iteration 1250, train cost 1.2319, valid cost 1.4746
 iteration 1300, train cost 1.2239, valid cost 1.4674
 iteration 1350, train cost 1.2171, valid cost 1.4650
 iteration 1400, train cost 1.2055, valid cost 1.4590
 iteration 1450, train cost 1.1967, valid cost 1.4541
 iteration 1500, train cost 1.1842, valid cost 1.4443
 iteration 1550, train cost 1.2204, valid cost 1.4554
 iteration 1600, train cost 1.1696, valid cost 1.4298
 iteration 1650, train cost 1.1605, valid cost 1.4256
 iteration 1700, train cost 1.1540, valid cost 1.4209
 iteration 1750, train cost 1.1477, valid cost 1.4152
 iteration 1800, train cost 1.1444, valid cost 1.4122
 iteration 1850, train cost 1.1329, valid cost 1.4071
 iteration 1900, train cost 1.1235, valid cost 1.4028
 iteration 1950, train cost 1.1199, valid cost 1.3996
 iteration 2000, train cost 1.1157, valid cost 1.3946
 iteration 2050, train cost 1.1072, valid cost 1.3903
 iteration 2100, train cost 1.1216, valid cost 1.3984
 iteration 2150, train cost 1.0999, valid cost 1.3849
 iteration 2200, train cost 1.0923, valid cost 1.3809
 iteration 2250, train cost 1.0846, valid cost 1.3759
 iteration 2300, train cost 1.0803, valid cost 1.3716
 iteration 2350, train cost 1.0752, valid cost 1.3689
 iteration 2400, train cost 1.0700, valid cost 1.3642
 iteration 2450, train cost 1.0649, valid cost 1.3598
 iteration 2500, train cost 1.0594, valid cost 1.3552
 iteration 2550, train cost 1.0544, valid cost 1.3524
 iteration 2600, train cost 1.0514, valid cost 1.3479
 iteration 2650, train cost 1.0462, valid cost 1.3436
 iteration 2700, train cost 1.0410, valid cost 1.3420
 iteration 2750, train cost 1.0392, valid cost 1.3407
 iteration 2800, train cost 1.0507, valid cost 1.3428
 iteration 2850, train cost 1.0343, valid cost 1.3341
 iteration 2900, train cost 1.0280, valid cost 1.3291
 iteration 2950, train cost 1.0270, valid cost 1.3280
 iteration 3000, train cost 1.0238, valid cost 1.3255
 iteration 3050, train cost 1.0483, valid cost 1.3286
 iteration 3100, train cost 1.0249, valid cost 1.3189
 iteration 3150, train cost 1.0801, valid cost 1.3515
 iteration 3200, train cost 1.0224, valid cost 1.3154
 iteration 3250, train cost 1.0134, valid cost 1.3150
 iteration 3300, train cost 1.0135, valid cost 1.3122
 iteration 3350, train cost 1.0111, valid cost 1.3118
 iteration 3400, train cost 1.0073, valid cost 1.3106
 iteration 3450, train cost 1.0022, valid cost 1.3065
 iteration 3500, train cost 1.0016, valid cost 1.3047
 iteration 3550, train cost 1.1623, valid cost 1.3987
 iteration 3600, train cost 1.0108, valid cost 1.3014
 iteration 3650, train cost 1.0034, valid cost 1.2991
 iteration 3700, train cost 0.9966, valid cost 1.2984
 iteration 3750, train cost 0.9953, valid cost 1.2958
 iteration 3800, train cost 0.9915, valid cost 1.2950
 iteration 3850, train cost 1.0438, valid cost 1.3169
 iteration 3900, train cost 0.9968, valid cost 1.2907
 iteration 3950, train cost 0.9995, valid cost 1.2927
