
 iteration 0, train cost 3.7068, valid cost 3.8026
 iteration 50, train cost 2.1376, valid cost 2.2133
 iteration 100, train cost 2.0829, valid cost 2.1686
 iteration 150, train cost 2.0773, valid cost 2.1653
 iteration 200, train cost 2.0737, valid cost 2.1630
 iteration 250, train cost 2.0653, valid cost 2.1544
 iteration 300, train cost 2.0326, valid cost 2.1161
 iteration 350, train cost 2.0001, valid cost 2.0791
 iteration 400, train cost 1.9573, valid cost 2.0326
 iteration 450, train cost 1.9070, valid cost 1.9883
 iteration 500, train cost 1.8818, valid cost 1.9623
 iteration 550, train cost 1.8583, valid cost 1.9401
 iteration 600, train cost 1.8276, valid cost 1.9105
 iteration 650, train cost 1.7882, valid cost 1.8732
 iteration 700, train cost 1.7594, valid cost 1.8488
 iteration 750, train cost 1.7289, valid cost 1.8241
 iteration 800, train cost 1.6983, valid cost 1.8020
 iteration 850, train cost 1.6713, valid cost 1.7817
 iteration 900, train cost 1.6467, valid cost 1.7617
 iteration 950, train cost 1.6252, valid cost 1.7425
 iteration 1000, train cost 1.6030, valid cost 1.7222
 iteration 1050, train cost 1.5822, valid cost 1.7027
 iteration 1100, train cost 1.5608, valid cost 1.6818
 iteration 1150, train cost 1.5389, valid cost 1.6613
 iteration 1200, train cost 1.5194, valid cost 1.6417
 iteration 1250, train cost 1.5014, valid cost 1.6233
 iteration 1300, train cost 1.4827, valid cost 1.6069
 iteration 1350, train cost 1.4658, valid cost 1.5906
 iteration 1400, train cost 1.4518, valid cost 1.5755
 iteration 1450, train cost 1.4374, valid cost 1.5630
 iteration 1500, train cost 1.4233, valid cost 1.5522
 iteration 1550, train cost 1.4114, valid cost 1.5426
 iteration 1600, train cost 1.3993, valid cost 1.5318
 iteration 1650, train cost 1.3908, valid cost 1.5260
 iteration 1700, train cost 1.3750, valid cost 1.5121
 iteration 1750, train cost 1.3637, valid cost 1.5025
 iteration 1800, train cost 1.3523, valid cost 1.4934
 iteration 1850, train cost 1.3421, valid cost 1.4849
 iteration 1900, train cost 1.3317, valid cost 1.4771
 iteration 1950, train cost 1.3207, valid cost 1.4678
 iteration 2000, train cost 1.3125, valid cost 1.4609
 iteration 2050, train cost 1.3032, valid cost 1.4539
 iteration 2100, train cost 1.2928, valid cost 1.4463
 iteration 2150, train cost 1.2831, valid cost 1.4405
 iteration 2200, train cost 1.2757, valid cost 1.4328
 iteration 2250, train cost 1.2653, valid cost 1.4257
 iteration 2300, train cost 1.2564, valid cost 1.4186
 iteration 2350, train cost 1.2454, valid cost 1.4131
 iteration 2400, train cost 1.2376, valid cost 1.4066
 iteration 2450, train cost 1.2286, valid cost 1.4013
 iteration 2500, train cost 1.2211, valid cost 1.3940
 iteration 2550, train cost 1.2136, valid cost 1.3882
 iteration 2600, train cost 1.2066, valid cost 1.3836
 iteration 2650, train cost 1.2007, valid cost 1.3776
 iteration 2700, train cost 1.1931, valid cost 1.3726
 iteration 2750, train cost 1.1866, valid cost 1.3682
 iteration 2800, train cost 1.1814, valid cost 1.3650
 iteration 2850, train cost 1.1729, valid cost 1.3592
 iteration 2900, train cost 1.1675, valid cost 1.3547
 iteration 2950, train cost 1.1611, valid cost 1.3509
 iteration 3000, train cost 1.1547, valid cost 1.3472
 iteration 3050, train cost 1.1512, valid cost 1.3444
 iteration 3100, train cost 1.1462, valid cost 1.3408
 iteration 3150, train cost 1.1405, valid cost 1.3386
 iteration 3200, train cost 1.1351, valid cost 1.3354
 iteration 3250, train cost 1.1315, valid cost 1.3321
 iteration 3300, train cost 1.1240, valid cost 1.3299
 iteration 3350, train cost 1.1207, valid cost 1.3278
 iteration 3400, train cost 1.1155, valid cost 1.3259
 iteration 3450, train cost 1.1114, valid cost 1.3227
 iteration 3500, train cost 1.1069, valid cost 1.3196
 iteration 3550, train cost 1.1035, valid cost 1.3170
 iteration 3600, train cost 1.1006, valid cost 1.3162
 iteration 3650, train cost 1.0953, valid cost 1.3133
 iteration 3700, train cost 1.0904, valid cost 1.3118
 iteration 3750, train cost 1.0874, valid cost 1.3093
 iteration 3800, train cost 1.0830, valid cost 1.3070
 iteration 3850, train cost 1.0799, valid cost 1.3067
 iteration 3900, train cost 1.0762, valid cost 1.3045
 iteration 3950, train cost 1.0722, valid cost 1.3029
