
 iteration 0, train cost 3.7040, valid cost 3.7437
 iteration 50, train cost 2.0772, valid cost 2.1712
 iteration 100, train cost 2.0751, valid cost 2.1702
 iteration 150, train cost 2.0736, valid cost 2.1694
 iteration 200, train cost 2.0671, valid cost 2.1625
 iteration 250, train cost 2.1736, valid cost 2.2725
 iteration 300, train cost 2.0791, valid cost 2.1599
 iteration 350, train cost 2.0108, valid cost 2.0949
 iteration 400, train cost 1.9996, valid cost 2.0861
 iteration 450, train cost 1.9831, valid cost 2.0728
 iteration 500, train cost 1.9850, valid cost 2.0786
 iteration 550, train cost 1.9500, valid cost 2.0508
 iteration 600, train cost 1.9389, valid cost 2.0433
 iteration 650, train cost 1.9275, valid cost 2.0261
 iteration 700, train cost 1.9210, valid cost 2.0184
 iteration 750, train cost 1.9082, valid cost 2.0141
 iteration 800, train cost 1.9064, valid cost 2.0223
 iteration 850, train cost 1.8672, valid cost 1.9874
 iteration 900, train cost 1.8349, valid cost 1.9690
 iteration 950, train cost 1.8268, valid cost 1.9597
 iteration 1000, train cost 1.8133, valid cost 1.9612
 iteration 1050, train cost 1.8106, valid cost 1.9538
 iteration 1100, train cost 1.7828, valid cost 1.9376
 iteration 1150, train cost 1.7770, valid cost 1.9423
 iteration 1200, train cost 1.7553, valid cost 1.9268
 iteration 1250, train cost 1.7309, valid cost 1.9154
 iteration 1300, train cost 1.7374, valid cost 1.9144
 iteration 1350, train cost 1.7090, valid cost 1.9090
 iteration 1400, train cost 1.6908, valid cost 1.9107
 iteration 1450, train cost 1.6719, valid cost 1.9047
 iteration 1500, train cost 1.6707, valid cost 1.9086
 iteration 1550, train cost 1.6583, valid cost 1.9079
 iteration 1600, train cost 1.6553, valid cost 1.9150
 iteration 1650, train cost 1.6315, valid cost 1.9119
 iteration 1700, train cost 1.6271, valid cost 1.9212
 iteration 1750, train cost 1.6180, valid cost 1.9409
 iteration 1800, train cost 1.6170, valid cost 1.9247
 iteration 1850, train cost 1.5990, valid cost 1.9351
 iteration 1900, train cost 1.5941, valid cost 1.9272
 iteration 1950, train cost 1.5839, valid cost 1.9377
 iteration 2000, train cost 1.5915, valid cost 1.9367
 iteration 2050, train cost 1.5800, valid cost 1.9421
 iteration 2100, train cost 1.5696, valid cost 1.9427
 iteration 2150, train cost 1.5767, valid cost 1.9523
 iteration 2200, train cost 1.5582, valid cost 1.9505
 iteration 2250, train cost 1.5597, valid cost 1.9549
 iteration 2300, train cost 1.5495, valid cost 1.9507
 iteration 2350, train cost 1.5463, valid cost 1.9520
 iteration 2400, train cost 1.5550, valid cost 1.9606
 iteration 2450, train cost 1.5342, valid cost 1.9598
 iteration 2500, train cost 1.5291, valid cost 1.9644
 iteration 2550, train cost 1.5232, valid cost 1.9619
 iteration 2600, train cost 1.5464, valid cost 1.9762
 iteration 2650, train cost 1.5526, valid cost 1.9762
 iteration 2700, train cost 1.5343, valid cost 1.9673
 iteration 2750, train cost 1.5278, valid cost 1.9851
 iteration 2800, train cost 1.5095, valid cost 1.9885
 iteration 2850, train cost 1.5053, valid cost 1.9803
 iteration 2900, train cost 1.5107, valid cost 1.9848
 iteration 2950, train cost 1.5099, valid cost 1.9829
 iteration 3000, train cost 1.4920, valid cost 1.9895
 iteration 3050, train cost 1.5015, valid cost 1.9978
 iteration 3100, train cost 1.5071, valid cost 1.9948
 iteration 3150, train cost 1.4903, valid cost 1.9999
 iteration 3200, train cost 1.4913, valid cost 2.0043
 iteration 3250, train cost 1.4843, valid cost 1.9993
 iteration 3300, train cost 1.4880, valid cost 2.0022
 iteration 3350, train cost 1.4937, valid cost 2.0086
 iteration 3400, train cost 1.4779, valid cost 2.0100
 iteration 3450, train cost 1.4786, valid cost 2.0122
 iteration 3500, train cost 1.4975, valid cost 2.0161
 iteration 3550, train cost 1.4782, valid cost 2.0117
 iteration 3600, train cost 1.4805, valid cost 2.0169
 iteration 3650, train cost 1.4708, valid cost 2.0109
 iteration 3700, train cost 1.4759, valid cost 2.0192
 iteration 3750, train cost 1.4637, valid cost 2.0177
 iteration 3800, train cost 1.4605, valid cost 2.0183
 iteration 3850, train cost 1.4553, valid cost 2.0182
 iteration 3900, train cost 1.4538, valid cost 2.0211
 iteration 3950, train cost 1.4533, valid cost 2.0233
