
 iteration 0, train cost 3.7059, valid cost 3.8047
 iteration 50, train cost 2.5725, valid cost 2.6239
 iteration 100, train cost 2.1131, valid cost 2.1902
 iteration 150, train cost 2.0884, valid cost 2.1683
 iteration 200, train cost 2.0824, valid cost 2.1660
 iteration 250, train cost 2.0795, valid cost 2.1648
 iteration 300, train cost 2.0766, valid cost 2.1636
 iteration 350, train cost 2.0731, valid cost 2.1614
 iteration 400, train cost 2.0662, valid cost 2.1552
 iteration 450, train cost 2.0459, valid cost 2.1352
 iteration 500, train cost 2.0010, valid cost 2.0889
 iteration 550, train cost 1.9483, valid cost 2.0320
 iteration 600, train cost 1.9128, valid cost 1.9956
 iteration 650, train cost 1.8800, valid cost 1.9645
 iteration 700, train cost 1.8448, valid cost 1.9298
 iteration 750, train cost 1.8164, valid cost 1.8996
 iteration 800, train cost 1.7936, valid cost 1.8770
 iteration 850, train cost 1.7698, valid cost 1.8551
 iteration 900, train cost 1.7441, valid cost 1.8314
 iteration 950, train cost 1.7209, valid cost 1.8099
 iteration 1000, train cost 1.6969, valid cost 1.7895
 iteration 1050, train cost 1.6715, valid cost 1.7674
 iteration 1100, train cost 1.6470, valid cost 1.7462
 iteration 1150, train cost 1.6230, valid cost 1.7272
 iteration 1200, train cost 1.6002, valid cost 1.7094
 iteration 1250, train cost 1.5805, valid cost 1.6923
 iteration 1300, train cost 1.5619, valid cost 1.6751
 iteration 1350, train cost 1.5459, valid cost 1.6601
 iteration 1400, train cost 1.5297, valid cost 1.6468
 iteration 1450, train cost 1.5159, valid cost 1.6342
 iteration 1500, train cost 1.5028, valid cost 1.6232
 iteration 1550, train cost 1.4906, valid cost 1.6128
 iteration 1600, train cost 1.4791, valid cost 1.6021
 iteration 1650, train cost 1.4684, valid cost 1.5928
 iteration 1700, train cost 1.4575, valid cost 1.5837
 iteration 1750, train cost 1.4471, valid cost 1.5739
 iteration 1800, train cost 1.4347, valid cost 1.5641
 iteration 1850, train cost 1.4251, valid cost 1.5551
 iteration 1900, train cost 1.4161, valid cost 1.5466
 iteration 1950, train cost 1.4073, valid cost 1.5388
 iteration 2000, train cost 1.3977, valid cost 1.5316
 iteration 2050, train cost 1.3874, valid cost 1.5247
 iteration 2100, train cost 1.3797, valid cost 1.5174
 iteration 2150, train cost 1.3711, valid cost 1.5101
 iteration 2200, train cost 1.3646, valid cost 1.5029
 iteration 2250, train cost 1.3567, valid cost 1.4960
 iteration 2300, train cost 1.3484, valid cost 1.4893
 iteration 2350, train cost 1.3408, valid cost 1.4822
 iteration 2400, train cost 1.3329, valid cost 1.4755
 iteration 2450, train cost 1.3257, valid cost 1.4691
 iteration 2500, train cost 1.3196, valid cost 1.4630
 iteration 2550, train cost 1.3132, valid cost 1.4568
 iteration 2600, train cost 1.3061, valid cost 1.4517
 iteration 2650, train cost 1.3001, valid cost 1.4468
 iteration 2700, train cost 1.2927, valid cost 1.4421
 iteration 2750, train cost 1.2885, valid cost 1.4378
 iteration 2800, train cost 1.2816, valid cost 1.4333
 iteration 2850, train cost 1.2762, valid cost 1.4289
 iteration 2900, train cost 1.2707, valid cost 1.4253
 iteration 2950, train cost 1.2673, valid cost 1.4215
 iteration 3000, train cost 1.2604, valid cost 1.4183
 iteration 3050, train cost 1.2563, valid cost 1.4146
 iteration 3100, train cost 1.2522, valid cost 1.4112
 iteration 3150, train cost 1.2484, valid cost 1.4077
 iteration 3200, train cost 1.2436, valid cost 1.4044
 iteration 3250, train cost 1.2385, valid cost 1.4021
 iteration 3300, train cost 1.2353, valid cost 1.3987
 iteration 3350, train cost 1.2309, valid cost 1.3961
 iteration 3400, train cost 1.2267, valid cost 1.3937
 iteration 3450, train cost 1.2233, valid cost 1.3903
 iteration 3500, train cost 1.2202, valid cost 1.3876
 iteration 3550, train cost 1.2139, valid cost 1.3854
 iteration 3600, train cost 1.2116, valid cost 1.3828
 iteration 3650, train cost 1.2075, valid cost 1.3806
 iteration 3700, train cost 1.2038, valid cost 1.3784
 iteration 3750, train cost 1.1985, valid cost 1.3757
 iteration 3800, train cost 1.1980, valid cost 1.3736
 iteration 3850, train cost 1.1916, valid cost 1.3712
 iteration 3900, train cost 1.1895, valid cost 1.3692
 iteration 3950, train cost 1.1850, valid cost 1.3671
