
 iteration 0, train cost 4.9339, valid cost 5.0356
 iteration 50, train cost 4.0321, valid cost 4.0769
 iteration 100, train cost 3.3621, valid cost 3.4312
 iteration 150, train cost 3.2945, valid cost 3.3678
 iteration 200, train cost 3.2839, valid cost 3.3594
 iteration 250, train cost 3.2780, valid cost 3.3554
 iteration 300, train cost 3.2709, valid cost 3.3497
 iteration 350, train cost 3.2597, valid cost 3.3385
 iteration 400, train cost 3.2374, valid cost 3.3136
 iteration 450, train cost 3.1953, valid cost 3.2672
 iteration 500, train cost 3.1432, valid cost 3.2102
 iteration 550, train cost 3.0941, valid cost 3.1571
 iteration 600, train cost 3.0533, valid cost 3.1144
 iteration 650, train cost 3.0122, valid cost 3.0727
 iteration 700, train cost 2.9695, valid cost 3.0281
 iteration 750, train cost 2.9261, valid cost 2.9839
 iteration 800, train cost 2.8884, valid cost 2.9464
 iteration 850, train cost 2.8561, valid cost 2.9158
 iteration 900, train cost 2.8260, valid cost 2.8885
 iteration 950, train cost 2.7971, valid cost 2.8613
 iteration 1000, train cost 2.7657, valid cost 2.8332
 iteration 1050, train cost 2.7353, valid cost 2.8048
 iteration 1100, train cost 2.7048, valid cost 2.7779
 iteration 1150, train cost 2.6767, valid cost 2.7525
 iteration 1200, train cost 2.6497, valid cost 2.7275
 iteration 1250, train cost 2.6227, valid cost 2.7021
 iteration 1300, train cost 2.5976, valid cost 2.6785
 iteration 1350, train cost 2.5749, valid cost 2.6569
 iteration 1400, train cost 2.5533, valid cost 2.6376
 iteration 1450, train cost 2.5336, valid cost 2.6190
 iteration 1500, train cost 2.5154, valid cost 2.6021
 iteration 1550, train cost 2.4982, valid cost 2.5864
 iteration 1600, train cost 2.4838, valid cost 2.5724
 iteration 1650, train cost 2.4683, valid cost 2.5586
 iteration 1700, train cost 2.4537, valid cost 2.5455
 iteration 1750, train cost 2.4398, valid cost 2.5321
 iteration 1800, train cost 2.4256, valid cost 2.5194
 iteration 1850, train cost 2.4127, valid cost 2.5071
 iteration 1900, train cost 2.3991, valid cost 2.4951
 iteration 1950, train cost 2.3878, valid cost 2.4835
 iteration 2000, train cost 2.3756, valid cost 2.4723
 iteration 2050, train cost 2.3657, valid cost 2.4607
 iteration 2100, train cost 2.3537, valid cost 2.4500
 iteration 2150, train cost 2.3431, valid cost 2.4396
 iteration 2200, train cost 2.3353, valid cost 2.4298
 iteration 2250, train cost 2.3257, valid cost 2.4211
 iteration 2300, train cost 2.3174, valid cost 2.4125
 iteration 2350, train cost 2.3083, valid cost 2.4041
 iteration 2400, train cost 2.3004, valid cost 2.3961
 iteration 2450, train cost 2.2911, valid cost 2.3880
 iteration 2500, train cost 2.2828, valid cost 2.3799
 iteration 2550, train cost 2.2757, valid cost 2.3727
 iteration 2600, train cost 2.2687, valid cost 2.3660
 iteration 2650, train cost 2.2635, valid cost 2.3595
 iteration 2700, train cost 2.2555, valid cost 2.3532
 iteration 2750, train cost 2.2490, valid cost 2.3465
 iteration 2800, train cost 2.2433, valid cost 2.3396
 iteration 2850, train cost 2.2352, valid cost 2.3328
 iteration 2900, train cost 2.2290, valid cost 2.3261
 iteration 2950, train cost 2.2233, valid cost 2.3194
 iteration 3000, train cost 2.2151, valid cost 2.3134
 iteration 3050, train cost 2.2101, valid cost 2.3071
 iteration 3100, train cost 2.2027, valid cost 2.3018
 iteration 3150, train cost 2.1975, valid cost 2.2953
 iteration 3200, train cost 2.1925, valid cost 2.2905
 iteration 3250, train cost 2.1861, valid cost 2.2855
 iteration 3300, train cost 2.1805, valid cost 2.2805
 iteration 3350, train cost 2.1766, valid cost 2.2757
 iteration 3400, train cost 2.1693, valid cost 2.2718
 iteration 3450, train cost 2.1653, valid cost 2.2670
 iteration 3500, train cost 2.1595, valid cost 2.2626
 iteration 3550, train cost 2.1539, valid cost 2.2583
 iteration 3600, train cost 2.1507, valid cost 2.2538
 iteration 3650, train cost 2.1430, valid cost 2.2500
 iteration 3700, train cost 2.1408, valid cost 2.2461
 iteration 3750, train cost 2.1357, valid cost 2.2421
 iteration 3800, train cost 2.1313, valid cost 2.2383
 iteration 3850, train cost 2.1272, valid cost 2.2345
 iteration 3900, train cost 2.1222, valid cost 2.2317
 iteration 3950, train cost 2.1200, valid cost 2.2277
