
 iteration 0, train cost 3.7001, valid cost 3.7768
 iteration 50, train cost 2.7577, valid cost 2.7900
 iteration 100, train cost 2.1430, valid cost 2.1954
 iteration 150, train cost 2.0879, valid cost 2.1442
 iteration 200, train cost 2.0787, valid cost 2.1370
 iteration 250, train cost 2.0735, valid cost 2.1344
 iteration 300, train cost 2.0699, valid cost 2.1318
 iteration 350, train cost 2.0648, valid cost 2.1274
 iteration 400, train cost 2.0556, valid cost 2.1170
 iteration 450, train cost 2.0360, valid cost 2.0934
 iteration 500, train cost 2.0050, valid cost 2.0560
 iteration 550, train cost 1.9712, valid cost 2.0187
 iteration 600, train cost 1.9323, valid cost 1.9796
 iteration 650, train cost 1.9062, valid cost 1.9533
 iteration 700, train cost 1.8903, valid cost 1.9370
 iteration 750, train cost 1.8736, valid cost 1.9211
 iteration 800, train cost 1.8555, valid cost 1.9050
 iteration 850, train cost 1.8400, valid cost 1.8934
 iteration 900, train cost 1.8252, valid cost 1.8814
 iteration 950, train cost 1.8049, valid cost 1.8632
 iteration 1000, train cost 1.7814, valid cost 1.8408
 iteration 1050, train cost 1.7597, valid cost 1.8210
 iteration 1100, train cost 1.7402, valid cost 1.8041
 iteration 1150, train cost 1.7232, valid cost 1.7884
 iteration 1200, train cost 1.7057, valid cost 1.7739
 iteration 1250, train cost 1.6914, valid cost 1.7613
 iteration 1300, train cost 1.6778, valid cost 1.7506
 iteration 1350, train cost 1.6654, valid cost 1.7406
 iteration 1400, train cost 1.6533, valid cost 1.7299
 iteration 1450, train cost 1.6395, valid cost 1.7172
 iteration 1500, train cost 1.6231, valid cost 1.7024
 iteration 1550, train cost 1.6082, valid cost 1.6868
 iteration 1600, train cost 1.5927, valid cost 1.6726
 iteration 1650, train cost 1.5783, valid cost 1.6601
 iteration 1700, train cost 1.5656, valid cost 1.6481
 iteration 1750, train cost 1.5526, valid cost 1.6380
 iteration 1800, train cost 1.5413, valid cost 1.6283
 iteration 1850, train cost 1.5307, valid cost 1.6190
 iteration 1900, train cost 1.5184, valid cost 1.6096
 iteration 1950, train cost 1.5071, valid cost 1.5998
 iteration 2000, train cost 1.4972, valid cost 1.5906
 iteration 2050, train cost 1.4868, valid cost 1.5820
 iteration 2100, train cost 1.4780, valid cost 1.5736
 iteration 2150, train cost 1.4680, valid cost 1.5657
 iteration 2200, train cost 1.4595, valid cost 1.5568
 iteration 2250, train cost 1.4485, valid cost 1.5487
 iteration 2300, train cost 1.4392, valid cost 1.5403
 iteration 2350, train cost 1.4306, valid cost 1.5323
 iteration 2400, train cost 1.4204, valid cost 1.5249
 iteration 2450, train cost 1.4127, valid cost 1.5179
 iteration 2500, train cost 1.4041, valid cost 1.5115
 iteration 2550, train cost 1.3967, valid cost 1.5053
 iteration 2600, train cost 1.3892, valid cost 1.4992
 iteration 2650, train cost 1.3807, valid cost 1.4938
 iteration 2700, train cost 1.3733, valid cost 1.4886
 iteration 2750, train cost 1.3669, valid cost 1.4829
 iteration 2800, train cost 1.3585, valid cost 1.4779
 iteration 2850, train cost 1.3529, valid cost 1.4731
 iteration 2900, train cost 1.3459, valid cost 1.4680
 iteration 2950, train cost 1.3393, valid cost 1.4633
