
 iteration 0, train cost 4.9302, valid cost 5.0296
 iteration 50, train cost 3.4503, valid cost 3.5142
 iteration 100, train cost 3.2908, valid cost 3.3662
 iteration 150, train cost 3.2807, valid cost 3.3593
 iteration 200, train cost 3.2739, valid cost 3.3544
 iteration 250, train cost 3.2575, valid cost 3.3373
 iteration 300, train cost 3.1984, valid cost 3.2736
 iteration 350, train cost 3.1311, valid cost 3.2005
 iteration 400, train cost 3.0584, valid cost 3.1236
 iteration 450, train cost 3.0110, valid cost 3.0790
 iteration 500, train cost 2.9586, valid cost 3.0252
 iteration 550, train cost 2.9148, valid cost 2.9844
 iteration 600, train cost 2.8771, valid cost 2.9507
 iteration 650, train cost 2.8378, valid cost 2.9145
 iteration 700, train cost 2.7900, valid cost 2.8698
 iteration 750, train cost 2.7384, valid cost 2.8206
 iteration 800, train cost 2.6877, valid cost 2.7738
 iteration 850, train cost 2.6486, valid cost 2.7402
 iteration 900, train cost 2.6171, valid cost 2.7128
 iteration 950, train cost 2.5860, valid cost 2.6841
 iteration 1000, train cost 2.5536, valid cost 2.6525
 iteration 1050, train cost 2.5240, valid cost 2.6229
 iteration 1100, train cost 2.4954, valid cost 2.5980
 iteration 1150, train cost 2.4706, valid cost 2.5756
 iteration 1200, train cost 2.4469, valid cost 2.5543
 iteration 1250, train cost 2.4249, valid cost 2.5342
 iteration 1300, train cost 2.4049, valid cost 2.5151
 iteration 1350, train cost 2.3840, valid cost 2.4952
 iteration 1400, train cost 2.3621, valid cost 2.4741
 iteration 1450, train cost 2.3420, valid cost 2.4543
 iteration 1500, train cost 2.3235, valid cost 2.4357
 iteration 1550, train cost 2.3055, valid cost 2.4193
 iteration 1600, train cost 2.2893, valid cost 2.4039
 iteration 1650, train cost 2.2741, valid cost 2.3891
 iteration 1700, train cost 2.2606, valid cost 2.3761
 iteration 1750, train cost 2.2491, valid cost 2.3652
 iteration 1800, train cost 2.2387, valid cost 2.3547
 iteration 1850, train cost 2.2272, valid cost 2.3454
 iteration 1900, train cost 2.2168, valid cost 2.3371
 iteration 1950, train cost 2.2077, valid cost 2.3278
 iteration 2000, train cost 2.1981, valid cost 2.3205
 iteration 2050, train cost 2.1884, valid cost 2.3126
 iteration 2100, train cost 2.1804, valid cost 2.3050
 iteration 2150, train cost 2.1712, valid cost 2.2981
 iteration 2200, train cost 2.1639, valid cost 2.2904
 iteration 2250, train cost 2.1563, valid cost 2.2838
 iteration 2300, train cost 2.1468, valid cost 2.2786
 iteration 2350, train cost 2.1405, valid cost 2.2717
 iteration 2400, train cost 2.1328, valid cost 2.2657
 iteration 2450, train cost 2.1248, valid cost 2.2591
 iteration 2500, train cost 2.1187, valid cost 2.2530
 iteration 2550, train cost 2.1117, valid cost 2.2470
 iteration 2600, train cost 2.1038, valid cost 2.2410
 iteration 2650, train cost 2.0958, valid cost 2.2361
 iteration 2700, train cost 2.0887, valid cost 2.2303
 iteration 2750, train cost 2.0806, valid cost 2.2248
 iteration 2800, train cost 2.0729, valid cost 2.2199
 iteration 2850, train cost 2.0671, valid cost 2.2151
 iteration 2900, train cost 2.0587, valid cost 2.2092
 iteration 2950, train cost 2.0496, valid cost 2.2037
 iteration 3000, train cost 2.0444, valid cost 2.1992
 iteration 3050, train cost 2.0379, valid cost 2.1948
 iteration 3100, train cost 2.0318, valid cost 2.1901
 iteration 3150, train cost 2.0259, valid cost 2.1861
 iteration 3200, train cost 2.0214, valid cost 2.1832
 iteration 3250, train cost 2.0158, valid cost 2.1789
 iteration 3300, train cost 2.0098, valid cost 2.1754
 iteration 3350, train cost 2.0053, valid cost 2.1715
 iteration 3400, train cost 1.9981, valid cost 2.1680
 iteration 3450, train cost 1.9911, valid cost 2.1647
 iteration 3500, train cost 1.9884, valid cost 2.1621
 iteration 3550, train cost 1.9819, valid cost 2.1573
 iteration 3600, train cost 1.9786, valid cost 2.1540
 iteration 3650, train cost 1.9715, valid cost 2.1508
 iteration 3700, train cost 1.9689, valid cost 2.1477
 iteration 3750, train cost 1.9651, valid cost 2.1444
 iteration 3800, train cost 1.9595, valid cost 2.1419
 iteration 3850, train cost 1.9542, valid cost 2.1384
 iteration 3900, train cost 1.9504, valid cost 2.1350
 iteration 3950, train cost 1.9449, valid cost 2.1319
