
 iteration 0, train cost 4.9334, valid cost 5.0112
 iteration 50, train cost 3.2746, valid cost 3.3581
 iteration 100, train cost 3.2308, valid cost 3.3083
 iteration 150, train cost 3.0330, valid cost 3.0847
 iteration 200, train cost 2.9404, valid cost 2.9961
 iteration 250, train cost 2.8474, valid cost 2.9215
 iteration 300, train cost 2.7619, valid cost 2.8337
 iteration 350, train cost 2.6761, valid cost 2.7494
 iteration 400, train cost 2.5775, valid cost 2.6781
 iteration 450, train cost 2.5239, valid cost 2.6207
 iteration 500, train cost 2.4621, valid cost 2.5741
 iteration 550, train cost 2.4141, valid cost 2.5371
 iteration 600, train cost 2.4011, valid cost 2.5169
 iteration 650, train cost 2.3383, valid cost 2.4699
 iteration 700, train cost 2.2934, valid cost 2.4320
 iteration 750, train cost 2.2834, valid cost 2.4187
 iteration 800, train cost 2.2429, valid cost 2.3883
 iteration 850, train cost 2.2283, valid cost 2.3811
 iteration 900, train cost 2.1898, valid cost 2.3459
 iteration 950, train cost 2.1653, valid cost 2.3279
 iteration 1000, train cost 2.1492, valid cost 2.3086
 iteration 1050, train cost 2.1324, valid cost 2.2958
 iteration 1100, train cost 2.1244, valid cost 2.2888
 iteration 1150, train cost 2.1087, valid cost 2.2695
 iteration 1200, train cost 2.0924, valid cost 2.2582
 iteration 1250, train cost 2.0829, valid cost 2.2487
 iteration 1300, train cost 2.0699, valid cost 2.2389
 iteration 1350, train cost 2.0707, valid cost 2.2354
 iteration 1400, train cost 2.0473, valid cost 2.2171
 iteration 1450, train cost 2.0356, valid cost 2.2081
 iteration 1500, train cost 2.0306, valid cost 2.2016
 iteration 1550, train cost 2.0224, valid cost 2.1904
 iteration 1600, train cost 2.0065, valid cost 2.1793
 iteration 1650, train cost 1.9981, valid cost 2.1699
 iteration 1700, train cost 1.9914, valid cost 2.1654
 iteration 1750, train cost 1.9872, valid cost 2.1588
 iteration 1800, train cost 1.9949, valid cost 2.1645
 iteration 1850, train cost 1.9750, valid cost 2.1471
 iteration 1900, train cost 1.9703, valid cost 2.1418
 iteration 1950, train cost 1.9788, valid cost 2.1601
 iteration 2000, train cost 1.9590, valid cost 2.1292
 iteration 2050, train cost 1.9491, valid cost 2.1233
 iteration 2100, train cost 1.9466, valid cost 2.1226
 iteration 2150, train cost 1.9409, valid cost 2.1141
 iteration 2200, train cost 1.9419, valid cost 2.1106
 iteration 2250, train cost 1.9345, valid cost 2.1059
 iteration 2300, train cost 1.9283, valid cost 2.1039
 iteration 2350, train cost 1.9296, valid cost 2.1027
 iteration 2400, train cost 1.9242, valid cost 2.0939
 iteration 2450, train cost 1.9177, valid cost 2.0919
 iteration 2500, train cost 1.9210, valid cost 2.0898
 iteration 2550, train cost 1.9121, valid cost 2.0831
 iteration 2600, train cost 1.9185, valid cost 2.0904
 iteration 2650, train cost 1.9075, valid cost 2.0795
 iteration 2700, train cost 1.9060, valid cost 2.0763
 iteration 2750, train cost 1.8988, valid cost 2.0727
 iteration 2800, train cost 1.9020, valid cost 2.0752
 iteration 2850, train cost 1.9000, valid cost 2.0680
 iteration 2900, train cost 1.9191, valid cost 2.0789
 iteration 2950, train cost 1.8861, valid cost 2.0559
 iteration 3000, train cost 1.8841, valid cost 2.0549
 iteration 3050, train cost 1.8928, valid cost 2.0592
 iteration 3100, train cost 1.9030, valid cost 2.0637
 iteration 3150, train cost 1.8745, valid cost 2.0462
 iteration 3200, train cost 1.8735, valid cost 2.0419
 iteration 3250, train cost 1.8714, valid cost 2.0404
 iteration 3300, train cost 1.8649, valid cost 2.0344
 iteration 3350, train cost 1.8625, valid cost 2.0334
 iteration 3400, train cost 1.8656, valid cost 2.0342
 iteration 3450, train cost 1.8626, valid cost 2.0343
 iteration 3500, train cost 1.8552, valid cost 2.0278
 iteration 3550, train cost 1.8557, valid cost 2.0299
 iteration 3600, train cost 1.8599, valid cost 2.0285
 iteration 3650, train cost 1.8534, valid cost 2.0254
 iteration 3700, train cost 1.8492, valid cost 2.0214
 iteration 3750, train cost 1.8466, valid cost 2.0190
 iteration 3800, train cost 1.8460, valid cost 2.0195
 iteration 3850, train cost 1.8480, valid cost 2.0171
 iteration 3900, train cost 1.8426, valid cost 2.0158
 iteration 3950, train cost 1.8406, valid cost 2.0144
