
 iteration 0, train cost 3.6972, valid cost 3.7738
 iteration 50, train cost 3.5230, valid cost 3.5892
 iteration 100, train cost 2.7789, valid cost 2.8271
 iteration 150, train cost 2.3447, valid cost 2.3929
 iteration 200, train cost 2.1765, valid cost 2.2251
 iteration 250, train cost 2.1173, valid cost 2.1679
 iteration 300, train cost 2.0960, valid cost 2.1483
 iteration 350, train cost 2.0878, valid cost 2.1413
 iteration 400, train cost 2.0829, valid cost 2.1384
 iteration 450, train cost 2.0795, valid cost 2.1368
 iteration 500, train cost 2.0763, valid cost 2.1356
 iteration 550, train cost 2.0743, valid cost 2.1345
 iteration 600, train cost 2.0722, valid cost 2.1333
 iteration 650, train cost 2.0703, valid cost 2.1320
 iteration 700, train cost 2.0680, valid cost 2.1299
 iteration 750, train cost 2.0645, valid cost 2.1268
 iteration 800, train cost 2.0611, valid cost 2.1228
 iteration 850, train cost 2.0558, valid cost 2.1171
 iteration 900, train cost 2.0488, valid cost 2.1088
 iteration 950, train cost 2.0386, valid cost 2.0970
 iteration 1000, train cost 2.0254, valid cost 2.0819
 iteration 1050, train cost 2.0105, valid cost 2.0649
 iteration 1100, train cost 1.9957, valid cost 2.0476
 iteration 1150, train cost 1.9785, valid cost 2.0294
 iteration 1200, train cost 1.9594, valid cost 2.0099
 iteration 1250, train cost 1.9398, valid cost 1.9902
 iteration 1300, train cost 1.9229, valid cost 1.9733
 iteration 1350, train cost 1.9102, valid cost 1.9601
 iteration 1400, train cost 1.8998, valid cost 1.9498
 iteration 1450, train cost 1.8917, valid cost 1.9405
 iteration 1500, train cost 1.8820, valid cost 1.9310
 iteration 1550, train cost 1.8717, valid cost 1.9203
 iteration 1600, train cost 1.8600, valid cost 1.9083
 iteration 1650, train cost 1.8468, valid cost 1.8955
 iteration 1700, train cost 1.8336, valid cost 1.8828
 iteration 1750, train cost 1.8208, valid cost 1.8713
 iteration 1800, train cost 1.8108, valid cost 1.8616
 iteration 1850, train cost 1.8007, valid cost 1.8537
 iteration 1900, train cost 1.7930, valid cost 1.8472
 iteration 1950, train cost 1.7855, valid cost 1.8411
 iteration 2000, train cost 1.7775, valid cost 1.8354
 iteration 2050, train cost 1.7703, valid cost 1.8290
 iteration 2100, train cost 1.7625, valid cost 1.8221
 iteration 2150, train cost 1.7530, valid cost 1.8143
 iteration 2200, train cost 1.7439, valid cost 1.8053
 iteration 2250, train cost 1.7328, valid cost 1.7956
 iteration 2300, train cost 1.7225, valid cost 1.7858
 iteration 2350, train cost 1.7122, valid cost 1.7766
 iteration 2400, train cost 1.7026, valid cost 1.7681
 iteration 2450, train cost 1.6931, valid cost 1.7601
 iteration 2500, train cost 1.6842, valid cost 1.7527
 iteration 2550, train cost 1.6752, valid cost 1.7456
 iteration 2600, train cost 1.6664, valid cost 1.7385
 iteration 2650, train cost 1.6580, valid cost 1.7314
 iteration 2700, train cost 1.6493, valid cost 1.7248
 iteration 2750, train cost 1.6408, valid cost 1.7183
 iteration 2800, train cost 1.6329, valid cost 1.7120
 iteration 2850, train cost 1.6257, valid cost 1.7059
 iteration 2900, train cost 1.6183, valid cost 1.6994
 iteration 2950, train cost 1.6103, valid cost 1.6929
 iteration 3000, train cost 1.6024, valid cost 1.6862
 iteration 3050, train cost 1.5940, valid cost 1.6788
 iteration 3100, train cost 1.5847, valid cost 1.6715
 iteration 3150, train cost 1.5760, valid cost 1.6636
 iteration 3200, train cost 1.5668, valid cost 1.6556
 iteration 3250, train cost 1.5587, valid cost 1.6477
 iteration 3300, train cost 1.5495, valid cost 1.6395
 iteration 3350, train cost 1.5413, valid cost 1.6322
 iteration 3400, train cost 1.5324, valid cost 1.6253
 iteration 3450, train cost 1.5251, valid cost 1.6182
 iteration 3500, train cost 1.5164, valid cost 1.6108
 iteration 3550, train cost 1.5092, valid cost 1.6042
 iteration 3600, train cost 1.5017, valid cost 1.5981
 iteration 3650, train cost 1.4964, valid cost 1.5922
 iteration 3700, train cost 1.4882, valid cost 1.5865
 iteration 3750, train cost 1.4810, valid cost 1.5808
 iteration 3800, train cost 1.4751, valid cost 1.5757
 iteration 3850, train cost 1.4682, valid cost 1.5706
 iteration 3900, train cost 1.4638, valid cost 1.5653
 iteration 3950, train cost 1.4564, valid cost 1.5608
 iteration 4000, train cost 1.4512, valid cost 1.5558
 iteration 4050, train cost 1.4468, valid cost 1.5513
 iteration 4100, train cost 1.4404, valid cost 1.5476
 iteration 4150, train cost 1.4351, valid cost 1.5431
 iteration 4200, train cost 1.4285, valid cost 1.5390
 iteration 4250, train cost 1.4246, valid cost 1.5354
 iteration 4300, train cost 1.4206, valid cost 1.5315
 iteration 4350, train cost 1.4146, valid cost 1.5280
